1913,5,1137111
1917,6,2006784
1918,5,2171150
1919,6,2110266
1921,10,2334511
1923,11,2302527
1924,7,2381674
1925,6,2333326
1926,9,2295937
1927,14,2319274
1928,11,2260839
1929,6,2192051
1930,13,2223159
1931,10,2104071
1932,16,2111081
1933,12,1999141
1934,8,2076507
1935,10,2089596
1936,8,2077372
1937,14,2130370
1938,7,2212302
1939,8,2203276
1940,5,2302378
1941,7,2436060
1942,7,2731457
1943,8,2822127
1944,6,2689817
1945,5,2652638
1947,5,3602032
1948,5,3452217
1949,6,3484531
1953,5,3852228
1954,5,3979884
1955,6,4014041
1957,6,4200007
1959,8,4156434
1961,5,4140244
1962,5,4035234
1963,6,3958791
1966,5,3475674
1967,10,3395130
1970,5,3607420
